,Power [kW],Temperature [C],Relative Humidity (%),Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rain [mm/h],Rain Day,Holiday,Power-1,Power-2,Month,Hour,Week Day,Weekend,HDH,logtemp,WeekDay^2,Sin_hour
2018-07-04 00:00:00,101.5028663,16.270833333333332,77.30833333333334,0.0,0.0,1020.0,1.9474166666666666,0.0,0.0,0,116.405093,130.1596289,7,0,3,0,0.0,2.789374138931795,9,-9.893582466233818
2018-07-04 01:00:00,95.346914,16.401666666666667,78.41666666666667,0.0,0.0,1019.5833333333334,1.3590833333333334,0.0,0.0,0,101.5028663,116.405093,7,1,3,0,0.0,2.7973829556828393,9,-9.933048616783237
2018-07-04 02:00:00,93.621178,16.525000000000002,78.28333333333333,0.0,0.0,1019.0,1.5943333333333332,0.0,0.0,0,95.346914,101.5028663,7,2,3,0,0.0,2.80487438573775,9,-9.29559391923785
2018-07-04 03:00:00,93.084749,16.379166666666666,78.19166666666666,0.0,0.0,1019.0,1.1998333333333333,0.0,0.0,0,93.621178,95.346914,7,3,3,0,0.0,2.796010202079869,9,-8.024659857791685
2018-07-04 04:00:00,91.7110326,16.345833333333335,78.80833333333334,0.0,0.0,1019.0,1.6774166666666668,0.0,0.0,0,93.084749,93.621178,7,4,3,0,0.0,2.7939730228675614,9,-6.2068584884144515
2018-07-04 05:00:00,92.3234398,16.31,79.23333333333333,0.0,0.0,1019.0,1.6335,0.0,0.0,0,91.7110326,93.084749,7,5,3,0,0.0,2.7917784166329223,9,-3.9660699703704005
2018-07-04 06:00:00,96.916112,16.412499999999998,78.85000000000001,0.0,0.0,1019.0,12.7425,0.0,0.0,0,92.3234398,91.7110326,7,6,3,0,0.0,2.7980432396289143,9,-1.455000338086136
2018-07-04 07:00:00,119.7595878,16.897499999999997,77.85000000000001,0.0,0.0,1020.0,101.64083333333333,0.0,0.0,0,96.916112,92.3234398,7,7,3,0,0.0,2.827165681992372,9,1.1552251627369516
2018-07-04 08:00:00,124.8050748,17.903333333333332,72.08416666666666,0.0,0.0,1020.0,369.93333333333334,0.0,0.0,0,119.7595878,96.916112,7,8,3,0,0.0,2.884986915249258,9,3.686723977819363
2018-07-04 09:00:00,130.5097395,18.8525,64.465,0.0,0.0,1020.1666666666666,401.19166666666666,0.0,0.0,0,124.8050748,119.7595878,7,9,3,0,0.0,2.936645531094665,9,5.966978646412833
2018-07-04 10:00:00,132.0672926,18.735833333333332,64.62333333333333,0.0,0.0,1021.0,246.88333333333333,0.0,0.0,0,130.5097395,124.8050748,7,10,3,0,0.0,2.9304379112849106,9,7.8405935811517145
2018-07-04 11:00:00,126.1610375,18.778333333333332,66.54833333333333,0.0,0.0,1021.0833333333334,391.4083333333333,0.0,0.0,0,132.0672926,130.5097395,7,11,3,0,0.0,2.9327037229480193,9,9.17988502052864
2018-07-04 12:00:00,125.7677835,20.098333333333333,58.0,0.0,0.0,1021.6666666666666,577.6333333333333,0.0,0.0,0,126.1610375,132.0672926,7,12,3,0,0.0,3.0006368928874463,9,9.893582466233818
2018-07-04 13:00:00,124.7758671,20.808333333333334,51.91166666666667,0.0,0.0,1021.1666666666666,685.15,0.0,0.0,0,125.7677835,126.1610375,7,13,3,0,0.0,3.0353535474977273,9,9.933048616783237
